feature,votes,mi_score,f_score,p_value,rf_importance,correlation,variance_selected,mi_selected,f_selected,rf_selected,corr_selected,final_selected
fn2_1,2,0.0009327038755404526,0.08224710552533473,0.7742761758018213,0.006427638989008721,0.001282577562895943,True,False,False,True,False,False
as3c30110,2,0.0002470000937471184,16.072599599258854,6.104810354010402e-05,0.0019079251171451644,0.01792655974074247,True,False,False,False,True,False
fn1_22_2,2,0.003864729967249292,0.13845371629294043,0.709824669071388,0.0017474448595296685,0.0016640845606221088,True,True,False,False,False,False
as1c20102,2,0.0015687397098520517,15.453172404553268,8.468869522259661e-05,0.0043525066497727884,0.017577835838998548,True,False,False,False,True,False
r020,2,0.0005111403008262183,17.221956199175636,3.3312015339377747e-05,0.003634204262330301,0.0185562467959494,True,False,False,False,True,False
wg_gb,2,0.008104501837209677,4.271755788789504,0.038756005768808305,0.0006576731018494573,0.009242901827763508,True,True,False,False,False,False
db0d00008,2,0.002556727740586906,1214.760374194388,5.446964819977422e-263,7.032779693924857e-05,0.15401258697601666,False,False,True,False,True,False
fn3_4_1,2,0.0,7.407230484550225,0.006498474052186094,0.004927794785672123,0.01217080894527562,True,False,False,False,True,False
da0d00044_2,2,0.0028789103889718115,1253.6199811655583,3.122586946460644e-271,4.035055938359996e-06,0.15639726504108306,False,False,True,False,True,False
fn2_10_1,2,1.5006855320409684e-05,5.841728684711687,0.015653998207102903,0.0056338150826386645,0.010808589059135936,True,False,False,False,True,False
fn2_3_3,2,0.0029523534360373915,39.335589874043585,3.597871574794702e-10,0.00305186694427424,0.028037916984448154,True,False,False,False,True,False
n002,2,0.00070250361521218,4.694484503998647,0.030264282117483294,0.008433778218730011,0.009689408169048098,True,False,False,True,False,False
fn2_3_2,2,0.00036715949046062235,9.562080721894363,0.001987471357441638,0.003874603964310739,0.013827967859418451,True,False,False,False,True,False
fn2_5_1,2,0.0004005613790405427,9.562080721894363,0.001987471357441638,0.00376982953843366,0.013827967859418451,True,False,False,False,True,False
fn3_2_1,2,0.004037544719892261,1.7980221260974207,0.17995788592561357,0.002016710212470181,0.005996714749500333,True,True,False,False,False,False
fn2_5,2,0.0007509760347568228,33.98358419372925,5.5919514621725955e-09,0.00468804325640249,0.026062179399923998,True,False,False,False,True,False
fn3_5,2,4.334446336251574e-05,47.78754945928629,4.8067794913139375e-12,0.005263244211985381,0.030901077004393568,True,False,False,False,True,False
r004,2,0.0,8.22708574603368,0.004128701214283098,0.004840649562800755,0.012826582754778925,True,False,False,False,True,False
n005,2,0.00015401431459327597,4.911418087375092,0.026684213201204683,0.006838400757364392,0.009910733696540127,True,False,False,True,False,False
r018,2,0.0007891021335286741,0.7390593734318445,0.38996648290192726,0.006556123930885086,0.0038446794719633757,True,False,False,True,False,False
da0d00044_1,2,0.0022099612643805555,1123.2203076186956,1.5006910481515544e-243,5.377666210480563e-18,0.1482285523904348,False,False,True,False,True,False
r006,2,0.0017649564577183474,16.89003455343418,3.967208166499041e-05,0.006125946927269954,0.018376618941984422,True,False,False,False,True,False
fn3_4,2,0.0006592905976461338,47.78754945928629,4.8067794913139375e-12,0.0054992443978927556,0.030901077004393568,True,False,False,False,True,False
n004,2,0.00045116616800355835,12.73012867733452,0.00036014817231306217,0.0061019589862314795,0.015954558812514272,True,False,False,False,True,False
db0d00012,2,0.002863356937973127,1526.5501631498123,0.0,4.6264349053896494e-05,0.17212677649278668,False,False,True,False,True,False
n006,2,0.00015087656272227967,18.444430900105107,1.7526075958158865e-05,0.005499874944759298,0.019203315719498876,True,False,False,False,True,False
r013,2,0.00032656115116602713,5.437045667118996,0.019717937350944743,0.004472775769773477,0.010427532733420751,True,False,False,False,True,False
fn1_11_4,2,0.00020442265507902846,19.184447885983758,1.1891726731142937e-05,0.003639332476408447,0.019584614710738992,True,False,False,False,True,False
n001,2,0.0,18.73906629122135,1.5017117449261697e-05,0.0056948422003325885,0.019356030017183046,True,False,False,False,True,False
fn2_3_5,2,0.009972987161915192,0.20645997815660883,0.6495582725750209,6.210976826004938e-05,0.0020320796449280307,True,True,False,False,False,False
fn1_24_1,2,0.0008228587123011444,7.120407541884648,0.007623596180554255,0.0056488401844954905,0.011932877631792169,True,False,False,False,True,False
fn2_3_1,2,0.0006416210321353866,33.98358419372925,5.5919514621725955e-09,0.004803919912675076,0.026062179399923998,True,False,False,False,True,False
fn1_5,1,0.00027947950960061085,1.059308780630568,0.30337786788362964,0.004018763097513116,0.004602887595059855,True,False,False,False,False,False
empe_cnt,1,0.0025793346078175627,4.622710755664377,0.031556119121235744,0.004925293811427422,0.009615059321417332,True,False,False,False,False,False
fn2_2,1,0.0,1.9849788324279145,0.15887309713670475,0.006223282112292238,0.006300760952093424,True,False,False,False,False,False
r014,1,0.00040220575947014225,0.0737562497544312,0.7859453171932693,0.0047160049109193965,0.0012145706345426575,True,False,False,False,False,False
fn1_11,1,9.190183331342361e-05,1.1422107761976126,0.28519082343111235,0.004276635551938288,0.004779603272359803,True,False,False,False,False,False
fn1_21_1,1,0.0,1.9516802332720158,0.16241210467554476,0.005969123300140866,0.006247690964476697,True,False,False,False,False,False
fn1_1,1,0.0,0.012034524090785977,0.9126461715105241,0.005118438458484831,0.0004906119155944594,True,False,False,False,False,False
n007,1,0.00019280120605769113,3.665171458285461,0.055566627563406704,0.004202772059418934,0.00856159961640114,True,False,False,False,False,False
fn1_13_1,1,0.0006011934319822831,2.378261378461906,0.12304073811078411,0.004249897859067834,0.006896728770239815,True,False,False,False,False,False
as1c10132,1,0.0,0.87890434361715,0.34850647495611153,0.0002912423011128094,0.004192669914925106,True,False,False,False,False,False
fn1_21,1,0.0003372516821718019,0.7269756301185399,0.3938693487156415,0.001584798374645247,0.00381311982435465,True,False,False,False,False,False
r001,1,0.0,0.0009472877929105177,0.975446675908804,0.004430068518583507,0.00013764633469391476,True,False,False,False,False,False
r002,1,0.0010045231155670908,0.02380110763059132,0.87739268273117,0.004821675354558564,0.0006899572217372913,True,False,False,False,False,False
r008,1,0.0009251376070171791,0.09371675291861475,0.7595054792692989,0.00492456662933056,0.0013690896688555473,True,False,False,False,False,False
r009,1,0.0016477004373705029,0.27507952085766635,0.5999468860318188,0.0035382678456189888,0.002345587393345872,True,False,False,False,False,False
fn1_3,1,0.0,0.15177457227490118,0.6968469084781109,0.0056773295191138275,0.0017422983828043546,True,False,False,False,False,False
sic_cd_3,1,0.0010312531000309377,0.1781230976355466,0.672993021778652,0.005164979499843461,0.001887482917621841,True,False,False,False,False,False
fn2_7,1,0.0,1.2412718724891652,0.2652314293946269,0.0050686617407759696,0.004982550970229049,True,False,False,False,False,False
fn2_1_1,1,0.00035761661077882145,0.6625439327589512,0.4156671498785749,0.006005119525222364,0.003640224322003398,True,False,False,False,False,False
r025,1,0.00021905666093391396,1.1066288624406602,0.2928210188202121,0.005096408856932157,0.0047045693434684555,True,False,False,False,False,False
fn1_18,1,0.0006863425942196244,0.8850742137456119,0.3468201944841012,0.0043322826045896065,0.004207360098718892,True,False,False,False,False,False
fn1_17,1,0.0006780988638963592,4.101807460521856,0.04284269730075368,0.004774816722428346,0.009057190561749145,True,False,False,False,False,False
ct_cnty_gu_cd,1,0.0012475059595931093,0.5473309657636134,0.45941378906008,0.0056662155415974445,0.0033086156260227592,True,False,False,False,False,False
fn1_10,1,0.0009580237381585643,3.0207601124104784,0.08221108472644445,0.0018068385434196713,0.007772642336088883,True,False,False,False,False,False
r003,1,0.0010121790192043623,4.790271161085524,0.028625529662887634,0.0051284278400882686,0.009787751379007508,True,False,False,False,False,False
r021,1,0.0009906917405115845,0.1119648495565968,0.7379195795765972,0.0028607404646437758,0.001496456331376986,True,False,False,False,False,False
fn3_10,1,0.0011948193067587987,3.453908176473751,0.06310827011863906,0.005515469208623367,0.008311206586392887,True,False,False,False,False,False
fn1_4,1,0.0,0.26564690547307573,0.6062692061496171,0.0034178648389530104,0.0023050211291656647,True,False,False,False,False,False
fn1_13,1,0.0002165605644897095,0.21372654190950835,0.6438641385620169,0.004187898650979944,0.0020675307863978793,True,False,False,False,False,False
fn1_11_3,1,0.0008060055470471283,3.9975908826247433,0.04557074981225467,0.0026743073907566106,0.008941399418418997,True,False,False,False,False,False
fn1_9,1,0.0003901704347590851,0.30738908200653564,0.5792892655375299,0.0008417770701697984,0.0024795140175494818,True,False,False,False,False,False
fn1_11_1,1,0.00043498877530834257,0.7943791819674156,0.3727835221367154,0.004985302379083593,0.003985971241394232,True,False,False,False,False,False
fn1_8,1,0.0,0.20960474920260294,0.6470793635611907,5.829954102241967e-17,0.0020474972770594077,True,False,False,False,False,False
fn1_7,1,0.00040011227782343894,1.4212366675795307,0.2332056190876242,0.00037715553996540675,0.00533151595507987,True,False,False,False,False,False
fn3_10_1,1,0.0,0.01157726769760619,0.9143152435080842,0.005597761713411379,0.0004812011665379594,True,False,False,False,False,False
fn1_14,1,0.0,2.819035251850261,0.09315862600594718,0.00407911467223426,0.007508647114948898,True,False,False,False,False,False
fn1_19,1,0.0,0.9209307205158672,0.33723535465564514,0.004605739355199089,0.004291737633856468,True,False,False,False,False,False
r024,1,0.0002735651183554122,1.5353393095686099,0.21531869156979958,0.006012267228935794,0.0055413961741109215,True,False,False,False,False,False
fn2_3,1,0.0,1.631224307428262,0.20153972418857766,0.0039390203935969585,0.00571180591169112,True,False,False,False,False,False
fn1_6,1,0.0001208115977251456,4.635244331922854,0.03132645232898299,0.0007898111428818813,0.00962808396802933,True,False,False,False,False,False
fn1_15,1,4.002094537125522e-05,4.162324074680711,0.04133789707373971,0.004102681395082661,0.009123753697457514,True,False,False,False,False,False
fn1_11_2,1,0.0,0.8378054743571186,0.36002957578169814,0.0006405567213502478,0.004093470284901758,True,False,False,False,False,False
fn1_2,1,0.00017755367747529505,0.29851736661950784,0.5848158330393657,0.005546671674690354,0.002443470996003994,True,False,False,False,False,False
